T_GeV,T_MeV,a_internal,a_physical,z,H_RTK_over_c_Mpc_inv,H_sameparams_LCDM_over_c_Mpc_inv,R_H
4.380804963648561e-06,0.004380804963648561,6.946274160528495e-08,6.041984063392549e-08,18479700.992293354,693523445.1820537,693523446.2505282,0.9999999984584563
4.5225809367358896e-06,0.0045225809367358895,6.831957798381978e-08,5.8891092303280914e-08,19064285.120375884,734748294.206815,734748295.3466974,0.9999999984485889
4.668865283588856e-06,0.004668865283588856,6.724554506707228e-08,5.7400831272124534e-08,19667995.663005553,778250225.7750887,778250226.9908015,0.9999999984377972
4.819793233704076e-06,0.004819793233704076,6.623887186373583e-08,5.594702551364754e-08,20291691.052068114,824141145.2524124,824141146.548443,0.9999999984274242
4.975504567886208e-06,0.004975504567886208,6.529784615906695e-08,5.4527723210938884e-08,20936039.22184198,872537336.4924719,872537337.87339,0.9999999984175084
5.136143881154215e-06,0.005136143881154215,6.442081347059186e-08,5.314104275881634e-08,21602218.151857406,923559472.8791012,923559474.3495643,0.9999999984077581
5.301861851770729e-06,0.005301861851770729,6.360617609583611e-08,5.178516276796023e-08,22291216.436890054,977332719.3048062,977332720.869571,0.9999999983998624
5.472814533493686e-06,0.005472814533493686,6.285239222216237e-08,5.045832207969107e-08,23003933.883015916,1033986647.1516485,1033986648.8155844,0.9999999983908271
5.649163662049849e-06,0.005649163662049849,6.215797499399069e-08,4.915881037798663e-08,23741481.177707624,1093616134.7268844,1093616136.4959865,0.9999999983823703
5.831076976915167e-06,0.0058310769769151665,6.152149160965444e-08,4.788496512139156e-08,24504780.60400568,1156363788.5533948,1156363790.433012,0.999999998373536
6.018728548434375e-06,0.006018728548434375,6.094156244824797e-08,4.6635164536640515e-08,25294967.88932287,1222385805.6318142,1222385807.6283944,0.9999999983662532
6.212298110066401e-06,0.006212298110066401,6.041686022505217e-08,4.540783929749466e-08,26113192.111541033,1291841941.0082042,1291841943.1282115,0.9999999983589696
6.411971405683432e-06,0.006411971405683432,5.994610916864363e-08,4.420146433779903e-08,26960616.30664692,1364895730.2281587,1364895732.478771,0.9999999983501063
6.617940543063293e-06,0.006617940543063293,5.952808423521429e-08,4.3014566153632317e-08,27838418.336068343,1441714469.6722033,1441714472.060505,0.9999999983434243
6.8304043626228025e-06,0.006830404362622803,5.916161029142205e-08,4.184571663985572e-08,28747891.66396207,1522469508.4433374,1522469510.9764428,0.9999999983362887
7.049568817342811e-06,0.00704956881734281,5.884556132047453e-08,4.069353115993395e-08,29690346.34956985,1607336350.590686,1607336353.276381,0.9999999983286009
7.275647388722554e-06,0.007275647388722554,5.8578859666683785e-08,3.955666669032633e-08,30667110.71967535,1696494776.7994616,1696494779.646531,0.9999999983217553
7.508861476489813e-06,0.0075088614764898135,5.836048536184048e-08,3.84338199876605e-08,31679532.244289886,1790128875.381718,1790128878.3999467,0.9999999983139475
7.749440832461114e-06,0.007749440832461114,5.8199475469269426e-08,3.7323725791551996e-08,32729078.392850637,1888427139.4064665,1888427142.6066892,0.9999999983053013
7.997623039991555e-06,0.007997623039991555,5.8094923458016e-08,3.622515513723139e-08,33817237.90688331,1991582570.9037752,1991582574.2978165,0.9999999982958749
8.25365402121798e-06,0.00825365402121798,5.8045988477782624e-08,3.5136923745163845e-08,34945522.25979533,2099792771.0418456,2099792774.6425364,0.9999999982852316
8.51778856221554e-06,0.00851778856221554,5.805189459405884e-08,3.405789066824496e-08,36115566.04262276,2213259861.7305884,2213259865.5522866,0.9999999982732606
8.790290872707295e-06,0.008790290872707295,5.81119300925208e-08,3.298695703396685e-08,37329027.42869308,2332190378.1342196,2332190382.1923857,0.9999999982597071
9.071435204084808e-06,0.009071435204084808,5.822544684389503e-08,3.1923064859530036e-08,38587689.12430114,2456795206.1943417,2456795210.5060873,0.9999999982450157
9.361506550387264e-06,0.009361506550387265,5.839185960689962e-08,3.0865195953427765e-08,39893305.60301259,2587289525.062109,2587289529.646984,0.9999999982294517
9.660800407428637e-06,0.009660800407428637,5.8610645218596896e-08,2.9812370780521072e-08,41247731.6640612,2723892832.8492913,2723892837.7289176,0.99999999820855
9.969623532755934e-06,0.009969623532755933,5.888134175195349e-08,2.876364743269472e-08,42652867.486718595,2866828972.5605426,2866828977.758953,0.999999998185856
1.028029427789709e-05,0.01028029427789709,5.919502859794268e-08,2.7829896071866612e-08,44092576.83711522,3015710564.362872,3015710569.9067225,0.9999999981611988
1.0600644575509144e-05,0.010600644575509144,5.954012573641033e-08,2.691582472281243e-08,45589792.17320492,3172204366.6809697,3172204372.597535,0.9999999981345238
1.0930954298244916e-05,0.010930954298244916,5.991587980618324e-08,2.6021762340907114e-08,47146146.49115536,3336642500.4461174,3336642506.7641864,0.9999999981064887
1.1271510605314893e-05,0.011271510605314893,6.032150214116199e-08,2.5148181642589914e-08,48763411.45867793,3509383758.8716445,3509383765.621026,0.9999999980767605
1.1622608325609935e-05,0.011622608325609934,6.075624650848822e-08,2.4295551627035725e-08,50443516.75839356,3690788209.7726684,3690788216.9841156,0.9999999980450918
1.1984540341265671e-05,0.011984540341265671,6.121939680362501e-08,2.3464340301378573e-08,52188499.87531512,3881218351.3299594,3881218359.0359874,0.9999999980115176
1.2357607961596882e-05,0.012357607961596881,6.171027484646653e-08,2.2655017561174712e-08,54000561.10916356,4081041546.1437874,4081041554.378301,0.9999999979820071
1.274212131348844e-05,0.01274212131348844,6.222823820883316e-08,2.1868057795356502e-08,55881911.33351437,4290632522.738362,4290632531.537814,0.999999997949163
1.3138400754330187e-05,0.013138400754330188,6.277268811803721e-08,2.110393177739716e-08,57834817.346278235,4510376624.255463,4510376633.658342,0.9999999979140621
1.3546778301183774e-05,0.013546778301183774,6.334306742012485e-08,2.0363112854920795e-08,59861538.580314355,4740663064.313132,4740663074.360719,0.9999999978781514
1.396759907452114e-05,0.01396759907452114,6.393887799374176e-08,1.9646071752850657e-08,61964332.14212149,4981889856.551178,4981889867.288677,0.9999999978445339
1.4401221773250572e-05,0.014401221773250573,6.456025140035387e-08,1.895328680486121e-08,64145498.59304124,5234462996.369896,5234463007.845163,0.9999999978082528
1.4848029160950264e-05,0.014848029160950265,6.520711073586586e-08,1.828524183008197e-08,66407376.54497545,5498795409.992153,5498795422.257742,0.9999999977694108
1.5308428564597876e-05,0.015308428564597876,6.587914295274116e-08,1.764242533022332e-08,68752370.75426033,5775301916.130502,5775301929.244663,0.9999999977291658
1.578285241584145e-05,0.015782852415841452,6.657623972896404e-08,1.702533254420462e-08,71182961.39392021,6064407532.570469,6064407546.598179,0.9999999976868694
1.6271758835072777e-05,0.01627175883507278,6.729840155019273e-08,1.6434466149498743e-08,73701619.725468,6366543248.704855,6366543263.718869,0.9999999976413297
1.677563226885486e-05,0.01677563226885486,6.804560829726906e-08,1.5870337447766608e-08,76310803.34435375,6682147189.994304,6682147206.074642,0.999999997592793
1.7294984169242385e-05,0.017294984169242385,6.881782052033596e-08,1.533346726495064e-08,79013260.24824147,7011664331.825973,7011664349.060138,0.9999999975416665
1.7830353744420408e-05,0.017830353744420408,6.961499992951102e-08,1.4824386925775793e-08,81811733.248981,7355545075.768851,7355545094.252339,0.9999999974871324
1.8382308751212777e-05,0.018382308751212776,7.043709055018103e-08,1.434363916502632e-08,84709064.42714383,7714245127.334907,7714245147.171993,0.9999999974306044
1.8951446349560063e-05,0.018951446349560062,7.128402006841942e-08,1.3891778983026873e-08,87708196.67096959,8088226582.179897,8088226603.483642,0.9999999973662266
1.953839388740228e-05,0.01953839388740228,7.215569133162227e-08,1.3469374463643522e-08,90812175.3915139,8477958357.92355,8477958380.816059,0.9999999973003197
